Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
SleepDeprivation,buffs,Buff,,,Sleep Deprivation,,Schlafentzug,Privación del Sueño,Privation de Sommeil,Privazione del Sonno,睡眠不足,수면 박탈,Privacja snu  ,Privação do Sono,Привлечение Сна  ,Privasyon Giderimi  ,剥夺睡眠,失眠
SleepDeprivationDesc,buffs,Buff,,,It’s likely *this* was the root cause of the apocalypse somehow.\nMicrosleep.\nCognitive ability reduced until you sleep (-10% XP).\n\nThe counter shows you how many ingame hours you’ve been awake.,,"Es ist wahrscheinlich, dass *dies* irgendwie die Hauptursache der Apokalypse war.\nMikroschlaf\nReduzierte kognitive Fähigkeit, bis du schläfst (-10% XP).\n\nDer Zähler zeigt an, wie viele Spielstunden du wach warst.",Es probable que *esto* fuera la causa principal del apocalipsis de alguna manera.\nMicrosueño\nCapacidad cognitiva reducida hasta que duermas (-10% XP).\n\nEl contador muestra cuántas horas de juego has estado despierto.,C'est probablement *ça* qui était la cause principale de l'apocalypse d'une manière ou d'une autre.\nMicro-sommeil\nCapacité cognitive réduite jusqu'à ce que tu dormes (-10% XP).\n\nLe compteur montre combien d'heures de jeu tu as été éveillé.,È probabile che *questo* fosse la causa principale dell'apocalisse in qualche modo.\nMicrosogno\nCapacità cognitiva ridotta fino a quando dormi (-10% XP).\n\nIl contatore mostra quante ore di gioco sei stato sveglio.,*これ*が何らかの形で黙示録の主要な原因だったかもしれません。\nマイクロスリープ\n寝るまで認知能力が低下します（XP -10%）。\n\nカウンターは、プレイ時間で何時間起きているかを表示します。,이 *이것*이 어떻게든 종말의 주요 원인이었을 가능성이 큽니다.\n미세 수면\n수면을 취할 때까지 인지 능력 감소 (-10% XP).\n\n카운터는 당신이 깨어 있었던 게임 시간을 보여줍니다.,"Prawdopodobnie *to* było główną przyczyną apokalipsy w jakiś sposób.\nMikrosen\nZmniejszona zdolność poznawcza, aż zaśniesz (-10% XP).\n\nLicznik pokazuje, ile godzin gry byłeś na jawie.  ",É provável que *isso* seja a principal causa do apocalipse de alguma forma.\nMicrossono\nCapacidade cognitiva reduzida até que você durma (-10% XP).\n\nO contador mostra quantas horas de jogo você esteve acordado.,"Вероятно, *это* было основной причиной апокалипсиса каким-то образом.\nМикросон\nСниженная когнитивная способность, пока ты не поспишь (-10% XP).\n\nСчетчик показывает, сколько часов игры ты был бодрствующим.  ","*Bu* bir şekilde kıyametin başlıca nedeni olabilir.\nMikrosu\nUyumadan önce bilişsel kapasiteniz azalır (-%10 XP).\n\nSayacı, ne kadar süre oyunda uyanık kaldığınızı gösterir.  ",这可能以某种方式是世界末日的主要原因。\n微睡眠\n认知能力降低，直到你睡觉为止（-10% XP）。\n\n计数器显示你已经醒着多少小时。,這可能以某種方式成為世界末日的主要原因。\n微睡眠\n認知能力降低，直到你睡覺為止 (-10% XP)。\n\n計時器顯示你在遊戲中已經清醒了多少小時。
SleepDeprivationTooltip,buffs,Buff,,,You could use a nap.,,Ein Nickerchen würde dir guttun.,Te vendría bien una siesta.,Une sieste te ferait du bien.,Ti farebbe bene un pisolino.,昼寝が必要です。,낮잠이 필요합니다.,Przydałaby ci się drzemka.  ,Você precisa de uma soneca.,Тебе бы не помешал небольшой сон.  ,Bir şekerleme iyi olurdu.  ,你需要打个盹。,你需要小憩一下。
SevereSleepDeprivation,buffs,Buff,,,Severe Sleep Deprivation,,Schwerer Schlafentzug,Privación Grave del Sueño,Privation de Sommeil Grave,Grave Privazione del Sonno,深刻な睡眠不足,심각한 수면 박탈,Ciężka privacja snu  ,Privação Grave do Sono,Тяжелая Привлечение Сна  ,Ciddi Uyku Giderimi  ,严重剥夺睡眠,嚴重失眠
SevereSleepDeprivationDesc,buffs,Buff,,,You can bearly stand.\nHallucinations.\nCummin ability severely reduced until you slap (-20% XP).\nReading skills apparently compromised too.\n\nThe counter shows you how many ingame hours you’ve been awake.,,"Du kannst kaum noch stehen.\nHalluzinationen.\nSchwer reduzierte kognitive Fähigkeit, bis du schläfst (-20% XP).\n\nDer Zähler zeigt an, wie viele Spielstunden du wach warst.",Apenas puedes mantenerte en pie.\nAlucinaciones.\nCapacidad cognitiva severamente reducida hasta que duermas (-20% XP).\n\nEl contador muestra cuántas horas de juego has estado despierto.,Tu peux à peine tenir debout.\nHallucinations.\nCapacité cognitive sévèrement réduite jusqu'à ce que tu dormes (-20% XP).\n\nLe compteur montre combien d'heures de jeu tu as été éveillé.,Appena riesci a stare in piedi.\nAllucinazioni.\nCapacità cognitiva severamente ridotta fino a quando dormi (-20% XP).\n\nIl contatore mostra quante ore di gioco sei stato sveglio.,立っているのもやっとです。\n幻覚。\n寝るまで認知能力が大幅に低下します（XP -20%）。\n\nカウンターは、プレイ時間で何時間起きているかを表示します。,거의 서 있기도 힘듭니다.\n환각.\n수면을 취할 때까지 인지 능력 심각하게 감소 (-20% XP).\n\n카운터는 당신이 깨어 있었던 게임 시간을 보여줍니다.,"Ledwo możesz stać.\nHalucynacje.\nZnacznie zmniejszona zdolność poznawcza, aż zaśniesz (-20% XP).\n\nLicznik pokazuje, ile godzin gry byłeś na jawie.  ",Você mal consegue ficar de pé.\nAlucinações.\nCapacidade cognitiva severamente reduzida até que você durma (-20% XP).\n\nO contador mostra quantas horas de jogo você esteve acordado.,"Ты едва можешь стоять.\nГаллюцинации.\nСильно сниженная когнитивная способность, пока ты не поспишь (-20% XP).\n\nСчетчик показывает, сколько часов игры ты был бодрствующим.  ","Ayakta durmakta zorlanıyorsun.\nHalüsinasyonlar.\nUyumadan önce bilişsel kapasiteniz ciddi şekilde azalır (-%20 XP).\n\nSayacı, ne kadar süre oyunda uyanık kaldığınızı gösterir.  ",你几乎无法站立。\n出现幻觉。\n认知能力严重降低，直到你睡觉为止（-20% XP）。\n\n计数器显示你已经醒着多少小时。,你幾乎無法站立。\n幻覺。\n認知能力嚴重降低，直到你睡覺為止 (-20% XP)。\n\n計時器顯示你在遊戲中已經清醒了多少小時。
SevereSleepDeprivationTooltip,buffs,Buff,,,"You’re so zonked, zombies might soon start ignoring you.",,"Du bist so erschöpft, dass die Zombies dich vielleicht bald ignorieren.",Estás tan agotado que los zombis quizás empiecen a ignorarte pronto.,Tu es tellement épuisé que les zombies pourraient commencer à t'ignorer bientôt.,Sei così esausto che i zombi potrebbero presto iniziare a ignorarti.,疲れ果てているので、ゾンビが無視し始めるかもしれません。,너무 피곤해서 좀비들이 곧 너를 무시할지도 모릅니다.,"Jesteś tak wyczerpany, że zombie mogą wkrótce zacząć cię ignorować.  ",Você está tão exausto que os zumbis podem começar a te ignorar em breve.,"Ты так истощен, что зомби, возможно, вскоре начнут тебя игнорировать.  ",O kadar yorgunsun ki zombiler seni yakında görmezden gelmeye başlayabilir.  ,你累得连僵尸可能都开始忽视你了。,你疲憊不堪，可能會很快被僵屍忽略。
Refreshed,buffs,Buff,,,Refreshed,,Erfrischt,Refrescado,Rafraîchi,Rinfrescato,リフレッシュ,상쾌함,Odświeżony  ,Revigorado,Обновленный  ,Yenilenmiş  ,恢复,清醒
RefreshedDesc,buffs,Buff,,,Having slept recently makes it this much harder to fall asleep.\nWait until you are tired to fall asleep faster.\n\nYou gain 5% more XP in the meantime.,,"Kürzliches Schlafen fügt diese Anzahl Sekunden zu deinem nächsten Schlafversuch hinzu.\nWarte, bis dieser Effekt endet, um leichter schlafen zu können.\n\nIn der Zwischenzeit erhältst du 5% mehr XP.","Haber dormido recientemente le agrega esta cantidad de segundos a tu próximo intento de dormir.\nEspera hasta que este efecto se acabe para poder dormir con más facilidad.\n\nMientras tanto, ganas un 5% más de XP.","Avoir dormi récemment ajoute cette quantité de secondes à ta prochaine tentative de dormir.\nAttends que cet effet se termine pour pouvoir dormir plus facilement.\n\nEntre-temps, tu gagnes 5% d'XP en plus.","Aver dormito recentemente aggiunge questa quantità di secondi al tuo prossimo tentativo di dormire.\nAspetta fino a che questo effetto svanisca per dormire più facilmente.\n\nNel frattempo, guadagni un 5% di XP in più.",最近寝たことで、次回の睡眠の試みにこの秒数が追加されます。\nこの効果がなくなるまで待ってから、もっと簡単に寝ることができます。\n\nその間、XPが5%増加します。,최근에 잠을 잔 덕분에 다음 수면 시도까지 이만큼의 초를 추가합니다.\n이 효과가 끝날 때까지 기다리면 더 쉽게 잠들 수 있습니다.\n\n그동안 XP가 5% 증가합니다.,"Spanie niedawno dodaje tę ilość sekund do twojej następnej próby zasypiania.\nPoczekaj, aż ten efekt minie, aby móc łatwiej zasnąć.\n\nW międzyczasie zyskujesz 5% więcej XP.  ","Ter dormido recentemente adiciona esta quantidade de segundos ao seu próximo tempo de dormir.\nEspere até que esse efeito passe para dormir com mais facilidade.\n\nEnquanto isso, você ganha 5% a mais de XP.","Недавно поспав, ты получаешь это количество секунд к своей следующей попытке заснуть.\nПодожди, пока этот эффект закончится, чтобы легче уснуть.\n\nТем временем ты получаешь на 5% больше XP.  ","Yeni uyumak, bir sonraki uyku denemene bu kadar saniye ekler.\nDaha kolay uyumak için bu etkinin bitmesini bekle.\n\nBu arada, %5 daha fazla XP kazanıyorsun.  ",最近睡了一觉，会在你下一次尝试睡觉时增加这段时间的秒数。\n等到这个效果结束后，你会更容易入睡。\n\n与此同时，你会获得额外5%的XP。,最近睡過覺後，這個效果會增加你下次嘗試入睡的秒數。\n等到這個效果結束後，你會更容易入睡。\n\n與此同時，你獲得額外5% XP。
Alertness,buffs,Buff,,,Alertness,,Wachsam,Alerta,Alerte,Allerta,警戒,경계 상태,Czujny  ,Alerta,Бдительный  ,Uyanık  ,警觉,警覺
AlertnessDesc,buffs,Buff,,,You can’t fall asleep when you are as jumpy as a hamster on cocaine.\nAdrenaline and sleep don’t get along. Try to chill for a bit first.,,"Du kannst nicht schlafen, wenn du so nervös wie ein kokainsüchtiger Hamster bist.\nAdrenalin und Schlaf vertragen sich nicht gut. Versuche, dich zuerst etwas zu entspannen.",No puedes dormir cuando estás tan nervioso como un hámster cocainómano.\nLa adrenalina y el sueño no se llevan bien. Trata de relajarte un poco primero.,Tu ne peux pas dormir quand tu es aussi nerveux qu'un hamster sous cocaïne.\nL'adrénaline et le sommeil ne vont pas bien ensemble. Essaie de te détendre un peu d'abord.,Non puoi dormire quando sei nervoso come un criceto sotto cocaina.\nL'adrenalina e il sonno non vanno d'accordo. Cerca di rilassarti un po' prima.,コカイン中毒のハムスターのように緊張しているときは寝られません。\nアドレナリンと睡眠は相性が悪いです。まずはリラックスしてみてください。,코카인 중독 햄스터처럼 신경이 곤두서 있을 때는 잠을 잘 수 없습니다.\n아드레날린과 수면은 잘 맞지 않습니다. 먼저 조금 진정하세요.,"Nie możesz spać, gdy jesteś tak nerwowy jak kokainowy chomik.\nAdrenalina i sen się nie dogadują. Spróbuj się najpierw nieco zrelaksować.  ",Você não pode dormir quando está tão nervoso quanto um hamster viciado em cocaína.\nA adrenalina e o sono não se dão bem. Tente relaxar um pouco primeiro.,"Ты не можешь спать, когда нервничаешь, как кокаиновый хомяк.\nАдреналин и сон не ладят. Сначала постарайся немного расслабиться.  ",Aşırı sinirli olduğunda uyuyamazsın.\nAdrenalin ve uyku iyi geçinemez. Önce biraz rahatlamaya çalış.  ,你在如此紧张的状态下无法入睡，就像一个嗑了可卡因的仓鼠一样。\n肾上腺素和睡眠不兼容。先试着放松一下。,當你像吸毒的倉鼠一樣緊張時，你無法入睡。\n腎上腺素與睡眠不合得來。試著先放鬆一下。
