Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish

modDyeBasicAmber420,item_modifiers,mod,New,Dye: (Basic) Amber,,,,,
modDyeBasicBlue420,item_modifiers,mod,New,Dye: (Basic) Blue,,,,,
modDyeBasicBrown420,item_modifiers,mod,New,Dye: (Basic) Brown,,,,,
modDyeBasicFuchsia420,item_modifiers,mod,New,Dye: (Basic) Fuchsia,,,,,
modDyeBasicGreen420,item_modifiers,mod,New,Dye: (Basic) Green,,,,,
modDyeBasicGrey420,item_modifiers,mod,New,Dye: (Basic) Grey,,,,,
modDyeBasicIndigo420,item_modifiers,mod,New,Dye: (Basic) Indigo,,,,,
modDyeBasicLime420,item_modifiers,mod,New,Dye: (Basic) Lime,,,,,
modDyeBasicOrange420,item_modifiers,mod,New,Dye: (Basic) Orange,,,,,
modDyeBasicPink420,item_modifiers,mod,New,Dye: (Basic) Pink,,,,,
modDyeBasicPurple420,item_modifiers,mod,New,Dye: (Basic) Purple,,,,,
modDyeBasicRed420,item_modifiers,mod,New,Dye: (Basic) Red,,,,,
modDyeBasicRose420,item_modifiers,mod,New,Dye: (Basic) Rose,,,,,
modDyeBasicSilver420,item_modifiers,mod,New,Dye: (Basic) Silver,,,,,
modDyeBasicTeal420,item_modifiers,mod,New,Dye: (Basic) Teal,,,,,
modDyeBasicTrueBlack420,item_modifiers,mod,New,Dye: (Basic) Void Black,,,,,
modDyeBasicBlack420,item_modifiers,mod,New,Dye: (Basic) Black,,,,,
modDyeBasicViolet420,item_modifiers,mod,New,Dye: (Basic) Violet,,,,,
modDyeBasicYellow420,item_modifiers,mod,New,Dye: (Basic) Yellow,,,,,

modDyeBasicEmperors420,item_modifiers,mod,New,Dye: (Basic) The Emperors new dye ,,,,,
modDyeBasicEmperors420Desc,item_modifiers,mod,,Look at all the pretty colours!,,,,,

dyeVat420,blocks,Workstation,,Dye Vat,,,,,
dyeVat420Desc,blocks,Workstation,,A station specifically for crafting dyes,,,,,

modDyeAFGreyAsh420,item_modifiers,mod,New,Dye: (Armed Forces-Grey) Ash,,,,,
modDyeAFGreyBlackCoral420,item_modifiers,mod,New,Dye: (Armed Forces-Grey) Black Coral,,,,,
modDyeAFGreyCadet420,item_modifiers,mod,New,Dye: (Armed Forces-Grey) Cadet,,,,,
modDyeAFGreyCharcoal420,item_modifiers,mod,New,Dye: (Armed Forces-Grey) Charcoal,,,,,
modDyeAFGreyDarkSlate420,item_modifiers,mod,New,Dye: (Armed Forces-Grey) Dark Slate,,,,,
modDyeAFGreyGunmetal420,item_modifiers,mod,New,Dye: (Armed Forces-Grey) Gunmetal,,,,,
modDyeAFGreenArmy420,item_modifiers,mod,New,Dye: (Armed Forces-Green) Army,,,,,
modDyeAFGreenArtichoke420,item_modifiers,mod,New,Dye: (Armed Forces-Green) Artichoke,,,,,
modDyeAFGreenDarkJungle420,item_modifiers,mod,New,Dye: (Armed Forces-Green) Dark Jungle,,,,,
modDyeAFGreenDarkMoss420,item_modifiers,mod,New,Dye: (Armed Forces-Green) Dark Moss,,,,,
modDyeAFGreenHunter420,item_modifiers,mod,New,Dye: (Armed Forces-Green) Hunter,,,,,
modDyeAFGreenMustard420,item_modifiers,mod,New,Dye: (Armed Forces-Green) Mustard,,,,,
modDyeAFGreenOldMoss420,item_modifiers,mod,New,Dye: (Armed Forces-Green) Old Moss,,,,,
modDyeAFGreenBlackOlive420,item_modifiers,mod,New,Dye: (Armed Forces-Green) Black Olive,,,,,
modDyeAFGreenOlive420,item_modifiers,mod,New,Dye: (Armed Forces-Green) Olive,,,,,
modDyeAFGreenOliveLight420,item_modifiers,mod,New,Dye: (Armed Forces-Green) Olive Light,,,,,
modDyeAFBrownKhaki420,item_modifiers,mod,New,Dye: (Armed Forces-Brown) Khaki,,,,,
modDyeAFBrownDarkKhaki420,item_modifiers,mod,New,Dye: (Armed Forces-Brown) Dark Khaki,,,,,
modDyeAFBrownSand420,item_modifiers,mod,New,Dye: (Armed Forces-Brown) Sand,,,,,
modDyeAFBrownDesert420,item_modifiers,mod,New,Dye: (Armed Forces-Brown) Desert,,,,,
modDyeAFBrownDirt420,item_modifiers,mod,New,Dye: (Armed Forces-Brown) Dirt,,,,,
modDyeAFBrownEcru420,item_modifiers,mod,New,Dye: (Armed Forces-Brown) Ecru,,,,,
modDyeAFBrownFieldDrab420,item_modifiers,mod,New,Dye: (Armed Forces-Brown) Field Drab,,,,,
modDyeAFBluePolice420,item_modifiers,mod,New,Dye: (Armed Forces-Blue) Police,,,,,
modDyeAFBluePrussian420,item_modifiers,mod,New,Dye: (Armed Forces-Blue) Prussian,,,,,
modDyeAFBlueQueen420,item_modifiers,mod,New,Dye: (Armed Forces-Blue) Queen,,,,,
modDyeAFBlueNavy420,item_modifiers,mod,New,Dye: (Armed Forces-Blue) Navy,,,,,
modDyeAFBlueIndigo420,item_modifiers,mod,New,Dye: (Armed Forces-Blue) Indigo,,,,,
modDyeAFBlueMaastricht420,item_modifiers,mod,New,Dye: (Armed Forces-Blue) Maastricht,,,,,

modDyeLeatherBlack420,item_modifiers,mod,New,Dye: (Leather) Black,,,,,
modDyeLeatherTanned420,item_modifiers,mod,New,Dye: (Leather) Tanned,,,,,
modDyeLeatherDarkRed420,item_modifiers,mod,New,Dye: (Leather) Dark Red,,,,,
modDyeLeatherBrown420,item_modifiers,mod,New,Dye: (Leather) Brown,,,,,
modDyeLeatherSeal420,item_modifiers,mod,New,Dye: (Leather) Seal,,,,,
modDyeLeatherRusset420,item_modifiers,mod,New,Dye: (Leather) Russet,,,,,
modDyeLeatherDeer420,item_modifiers,mod,New,Dye: (Leather) Deer,,,,,
modDyeLeatherTuscan420,item_modifiers,mod,New,Dye: (Leather) Tuscan,,,,,
modDyeLeatherSaddle420,item_modifiers,mod,New,Dye: (Leather) Saddle,,,,,
modDyeLeatherSienna420,item_modifiers,mod,New,Dye: (Leather) Sienna,,,,,

modDyeMaximumBlue420,item_modifiers,mod,New,Dye: (Maximum) Blue,,,,,
modDyeMaximumBlueGreen420,item_modifiers,mod,New,Dye: (Maximum) Blue Green,,,,,
