Key,File,Type,UsedInMainMenu,NoTranslate,english
foodSVETGFishSalmon,Items,Food,,,"Salmon"
foodSVETGFishSalmonDesc,Items,Food,,,"A salmon is a silvery, migratory fish known for its distinctive life cycle that includes hatching in freshwater, migrating to the ocean, and returning to its birthplace to spawn.\n\n\n\n\n\n\nIt can be filleted on the cutting board."
foodSVETGRawChicken,Items,Food,,,"Raw Chicken"
foodSVETGRawChickenDesc,Items,Food,,,"Raw chicken breast is a lean, pale pink poultry cut that is boneless, skinless, and often used as a versatile protein source in various culinary dishes."
foodSVETGRawSalmon,Items,Food,,,"Cut Salmon"
foodSVETGRawSalmonDesc,Items,Food,,,"Cut salmon is a rich, orange-pink fish fillet known for its tender texture, high omega-3 content, and versatility in various cooking methods such as grilling, baking, or sushi preparation.\n\n\n\n\n\n\n\nCrafted in: Cutting Board"
foodSVETGRawPork,Items,Food,,,"Raw Pork"
foodSVETGRawPorkDesc,Items,Food,,,"Raw pork is a light pink to reddish meat with a firm texture, often used in various cuisines and available in different cuts like chops, loins, and shoulders."
foodSVETGRawBacon,Items,Food,,,"Raw Bacon"
foodSVETGRawBaconDesc,Items,Food,,,"Raw bacon is a cured and sliced pork belly with a characteristic marbled appearance of fat and meat, known for its rich flavor and crispy texture when cooked."
foodSVETGRawChickenStripes,Items,Food,,,"Raw Chicken Strips"
foodSVETGRawChickenStripesDesc,Items,Food,,,"Raw chicken strips are slender, boneless pieces of chicken breast or thigh meat, often used for quick cooking in stir-fries, salads, and various breaded or grilled dishes.\n\n\n\n\n\n\n\nCrafted in: Cutting Board"
foodSVETGRawBeefStripes,Items,Food,,,"Raw Beef Strips"
foodSVETGRawBeefStripesDesc,Items,Food,,,"Raw beef strips are thin, elongated slices of beef, typically cut from tender cuts like sirloin or flank, and are commonly used in stir-fries, fajitas, and other quick-cooking dishes.\n\n\n\n\n\n\n\n\n\nCrafted in: Cutting Board"
foodSVETGRawBeefGround,Items,Food,,,"Raw ground Beef"
foodSVETGRawBeefGroundDesc,Items,Food,,,"Raw ground beef is finely chopped beef, usually with a specific fat content, that is versatile and commonly used in recipes like burgers, meatballs, and sauces.\n\n\n\n\n\n\n\nCrafted in: Cutting Board"
foodSVETGRawPasta,Items,Food,,,"Raw Pasta"
foodSVETGRawPastaDesc,Items,Food,,,"Raw pasta is dry, uncooked dough made from durum wheat and water, often shaped into various forms like spaghetti, penne, or fusilli, and needs to be boiled before consumption.\n\n\n\n\n\n\n\nCrafted in: Cutting Board"

foodCropSVETGCabbage,Items,Food,,,"Cabbage"
foodCropSVETGCabbageDesc,Items,Food,,,"Cabbage is a leafy green, red, or white vegetable with a dense, compact head, known for its crunchy texture and versatility in salads, stir-fries, and fermented dishes like sauerkraut and kimchi."
foodCropSVETGLime,Items,Food,,,"Lime"
foodCropSVETGLimeDesc,Items,Food,,,"A lime is a small, round citrus fruit with a tangy, acidic flavor and green skin, commonly used to add zest to dishes, beverages, and marinades."
foodCropSVETGMintLeaves,Items,Food,,,"Mint Leaves"
foodCropSVETGMintLeavesDesc,Items,Food,,,"Mint leaves are aromatic, vibrant green herbs with a refreshing, cool flavor, often used to enhance beverages, desserts, and savory dishes."
foodCropSVETGOnion,Items,Food,,,"Onion"
foodCropSVETGOnionDesc,Items,Food,,,"An onion is a bulbous vegetable with a papery skin and layered flesh that ranges in flavor from sharp and pungent when raw to sweet and caramelized when cooked."
foodCropSVETGPaprika,Items,Food,,,"Red Peppers"
foodCropSVETGPaprikaDesc,Items,Food,,,"Red peppers are sweet, juicy vegetables with a bright red color, crisp texture, and mild flavor, often enjoyed raw, roasted, or sautéed in a variety of dishes."
