Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese

OaksCooker,blocks,Block,,,Oakraven Cooker,,,,,,,,,,,,,
OaksCookerDesc,blocks,Block,,,"The Oakraven Cooker allows players to combine recipe ingredients into meals, beverages, and resources.",,,,,,,,,,,,,
PotStove,blocks,Block,,,Oakraven Pot Stove,,,,,,,,,,,,,
PotStoveDesc,blocks,Block,,,"The Oakraven Pot Stove allows players to combine recipe ingredients into meals, beverages, and resources.",,,,,,,,,,,,,
IronStove,blocks,Block,,,Oakraven Iron Stove,,,,,,,,,,,,,
IronStoveDesc,blocks,Block,,,"The Oakraven Iron Stove allows players to combine recipe ingredients into meals, beverages, and resources.",,,,,,,,,,,,,
StoneStove,blocks,Block,,,Oakraven Stone Stove,,,,,,,,,,,,,
StoneStoveDesc,blocks,Block,,,"The Oakraven Stone Stove allows players to combine recipe ingredients into meals, beverages, and resources.",,,,,,,,,,,,,
CookerVariantHelper,blocks,Block,,, Oakraven Cookers,,,,,,,,,,,,,
