Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese

FishOven,blocks,Block,,,Oakraven Fish Oven,,,,,,,,,,,,,
FishOvenDesc,blocks,Block,,,"The Oakraven Fish Oven allows players to cook their Fish Farm harvest into a variety of recipes.",,,,,,,,,,,,,
FishFarmEmpty,blocks,Block,,,Oakraven Fish Farm (Empty),,,,,,,,,,,,,
FishFarmEmptyDesc,blocks,Block,,,"Place this Oakraven Fish Farm in an appropriate location, and add an Oakraven Fish Growing Kit to begin the fish farming process.",,,,,,,,,,,,,
FishFarmEggs,blocks,Block,,,Oakraven Fish Farm (Egg Incubation Stage),,,,,,,,,,,,,
FishFarmHatched,blocks,Block,,,Oakraven Fish Farm (Hatching Stage),,,,,,,,,,,,,
FishFarmBreeding,blocks,Block,,,Oakraven Fish Farm (Growth and Breeding Stage),,,,,,,,,,,,,
FishFarmFishGrown,blocks,Block,,,Oakraven Fish Farm (Harvest Stage),,,,,,,,,,,,,
Salmon,blocks,Block,,,Salmon,,,,,,,,,,,,,
SalmonDesc,blocks,Block,,,"Place this Salmon on the floor and harvest. It can be used as part of a recipe.",,,,,,,,,,,,,
Barramundi,blocks,Block,,,Barramundi,,,,,,,,,,,,,
BarramundiDesc,blocks,Block,,,"Place this Barramundi on the floor and harvest. It can be used as part of a recipe.",,,,,,,,,,,,,
Tangfish,blocks,Block,,,Tang Fish,,,,,,,,,,,,,
TangfishDesc,blocks,Block,,,"Place this Tang Fish on the floor and harvest. It can be used as part of a recipe.",,,,,,,,,,,,,
MutantPiranha,blocks,Block,,,Mutant Piranha,,,,,,,,,,,,,
MutantPiranhaDesc,blocks,Block,,,"Place this Mutant Piranha on the floor and harvest. It can be used as part of a recipe.",,,,,,,,,,,,,
PerchFish,blocks,Block,,,Perch Fish,,,,,,,,,,,,,
PerchFishDesc,blocks,Block,,,"Place this Perch Fish on the floor and harvest. It can be used as part of a recipe.",,,,,,,,,,,,,
ShinerFish,blocks,Block,,,Shiner Fish,,,,,,,,,,,,,
ShinerFishDesc,blocks,Block,,,"Place this Shiner Fish on the floor and harvest. It can be used as part of a recipe.",,,,,,,,,,,,,
ArramusFish,blocks,Block,,,Navezgane Fish,,,,,,,,,,,,,
ArramusFishDesc,blocks,Block,,,"Place this Navezgane Fish on the floor and harvest. It can be used as part of a recipe.",,,,,,,,,,,,,
BlueFinTuna,blocks,Block,,,Bluefin Tuna Fish,,,,,,,,,,,,,
BlueFinTunaDesc,blocks,Block,,,"Place this Bluefin Tuna Fish on the floor and harvest. It can be used as part of a recipe.",,,,,,,,,,,,,

FishGrowingKit,items,Item,,,Oakraven Fish Farming Kit,,,,,,,,,,,,,
FishGrowingKitDesc,items,Item,,,"Place the Oakraven Fish Farming Kit in your empty Oakraven Fish Farm to begin the fish farming process.",,,,,,,,,,,,,
FishFillet,items,Item,,,Fish Fillet,,,,,,,,,,,,,
FishFilletDesc,items,Item,,,"This Fish Fillet can be added to a recipe to make a fish dish.",,,,,,,,,,,,,
foodFishmeringue,items,Item,,,Fish Meringue,,,,,,,,,,,,,
foodFishmeringueDesc,items,Item,,,"Fish Meringue uses farmed fish to provide players with a healthy and nutritious dish.",,,,,,,,,,,,,
foodFishSpinePie,items,Item,,,Fish Pie,,,,,,,,,,,,,
foodFishSpinePieDesc,items,Item,,,"Fish Pie uses farmed fish to provide players with a healthy and nutritious dish.",,,,,,,,,,,,,
foodFishSoup,items,Item,,,Fish Soup,,,,,,,,,,,,,
foodFishSoupDesc,items,Item,,,"Fish Soup uses farmed fish to provide players with a healthy and nutritious dish.",,,,,,,,,,,,,
foodFishStew,items,Item,,,Fish Stew,,,,,,,,,,,,,
foodFishStewDesc,items,Item,,,"Fish Stew uses farmed fish to provide players with a healthy and nutritious dish.",,,,,,,,,,,,,
foodPerchPie,items,Item,,,Perch Pie,,,,,,,,,,,,,
foodPerchPieDesc,items,Item,,,"Perch Pie uses farmed fish to provide players with a healthy and nutritious dish.",,,,,,,,,,,,,
foodFishCurry,items,Item,,,Fish Curry,,,,,,,,,,,,,
foodFishCurryDesc,items,Item,,,"Fish Curry uses farmed fish to provide players with a healthy and nutritious dish.",,,,,,,,,,,,,
SearedSalmonFillet,items,Item,,,Seared Salmon Fillet,,,,,,,,,,,,,
SearedSalmonFilletDesc,items,Item,,,"This Seared Salmon Fillet uses farmed fish to provide players with a healthy and nutritious dish.",,,,,,,,,,,,,
FreshSalmonFillet,items,Item,,,Fresh Salmon Fillet,,,,,,,,,,,,,
FreshSalmonFilletDesc,items,Item,,,"This Fresh Salmon Fillet can be seared or used as part of a recipe.",,,,,,,,,,,,,
FreshTunaFillet,items,Item,,,Fresh Bluefin Tuna Fillet,,,,,,,,,,,,,
FreshTunaFilletDesc,items,Item,,,"This Fresh Bluefin Tuna Fillet can be used as part of a recipe.",,,,,,,,,,,,,
PiranhaOnAStick,items,Item,,,Piranha On A Stick,,,,,,,,,,,,,
PiranhaOnAStickDesc,items,Item,,,"Piranha On A Stick uses farmed fish to provide players with a healthy and nutritious treat. Use the left mouse button to eat the the right mounse button to attack.",,,,,,,,,,,,,
PerchOnAStick,items,Item,,,Perch On A Stick,,,,,,,,,,,,,
PerchOnAStickDesc,items,Item,,,"Perch On A Stick uses farmed fish to provide players with a healthy and nutritious treat. Use the left mouse button to eat the the right mounse button to attack.",,,,,,,,,,,,,
barramundiOnAStick,items,Item,,,Barramundi On A Stick,,,,,,,,,,,,,
barramundiOnAStickDesc,items,Item,,,"Barramundi On A Stick uses farmed fish to provide players with a healthy and nutritious treat. Use the left mouse button to eat the the right mounse button to attack.",,,,,,,,,,,,,
ShinerFishOnAStick,items,Item,,,Shiner Fish On A Stick,,,,,,,,,,,,,
ShinerFishOnAStickDesc,items,Item,,,"Shiner Fish On A Stick uses farmed fish to provide players with a healthy and nutritious treat. Use the left mouse button to eat the the right mounse button to attack.",,,,,,,,,,,,,
