Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
zombieBurntKhz,entityclasses,Entity,,,Burnt Zombie,,Verbrannter Zombie,Zombi quemado,Zombie brûlé,Zombie bruciato,焼けたゾンビ,번트좀비,Spalony Zombi,Zumbi Queimado,Сгоревший зомби,Yanmış Zombi,烧焦的僵尸,燒焦的殭屍
zombieBurntFeralKhz,entityclasses,Entity,,,Feral Burnt Zombie,,Wilder verbrannter Zombie,Zombi salvaje quemado,Zombie sauvage brûlé,Zombie bruciato feroce,フェラル・バーント・ゾンビ,야생 번트 좀비,Dziki spalony zombie,Zumbi Feral Queimado,Дикий обгоревший зомби,Vahşi Yanmış Zombi,野性烧焦的僵尸,野性燒焦的殭屍
zombieBurntRadiatedKhz,entityclasses,Entity,,,Radiated Burnt Zombie,,Verstrahlter verbrannter Zombie,Zombi quemado irradiado,Zombie brûlé rayonné,Zombie bruciato irradiato,放射された焼けたゾンビ,방사능 번트 좀비,Napromieniowany spalony zombie,Zumbi queimado irradiado,Облученный обгоревший зомби,Yayılan Yanmış Zombi,辐射烧焦的僵尸,輻射燒焦的殭屍
zombieBusinessmanKhz,entityclasses,Entity,,,Zombie Businessman,,Zombie-Geschäftsmann,Empresario zombi,Homme d'affaires zombie,Uomo d'affari zombi,ゾンビの実業家,좀비 사업가,Biznesmen zombie,Empresário Zumbi,Зомби-бизнесмен,Zombi İşadamı,僵尸商人,殭屍商人
zombieBusinessmanFeralKhz,entityclasses,Entity,,,Feral Zombie Businessman,,Wilder Zombie-Geschäftsmann,Empresario zombi salvaje,Homme d'affaires zombie sauvage,Feroce uomo d'affari zombie,野生のゾンビの実業家,야생 좀비 사업가,Dziki biznesmen zombie,Empresário zumbi feroz,Дикий зомби-бизнесмен,Vahşi Zombi İşadamı,野生僵尸商人,野生殭屍商人
zombieBusinessmanRadiatedKhz,entityclasses,Entity,,,Radiated Zombie Businessman,,Ausgestrahlter Zombie-Geschäftsmann,Empresario zombie irradiado,Homme d'affaires zombie rayonné,Uomo d'affari zombie irradiato,放射されたゾンビの実業家,방사능 좀비 사업가,Napromieniowany biznesmen zombie,Empresário zumbi irradiado,Радиационный зомби-бизнесмен,Yayılan Zombi İşadamı,辐射僵尸商人,輻射殭屍商人
zombieBusinesswomanKhz,entityclasses,Entity,,,Zombie Businesswoman,,Zombie-Geschäftsfrau,Empresaria zombi,Femme d'affaires zombie,Imprenditrice zombie,ゾンビ実業家,좀비 사업가,Biznesmenka zombie,Empresária Zumbi,Зомби-бизнесмен,Zombi İşkadını,僵尸女商人,殭屍女商人
zombieBusinesswomanFeralKhz,entityclasses,Entity,,,Feral Zombie Businesswoman,,Wilde Zombie-Geschäftsfrau,Empresaria zombie salvaje,Femme d'affaires sauvage zombie,Donna d'affari feroce di zombie,野生のゾンビ実業家,야생 좀비 사업가,Dzika bizneswoman zombie,Empresária zumbi feroz,Дикий зомби-бизнесмен,Vahşi Zombi İşkadını,野生僵尸女商人,野生殭屍女商人
zombieBusinesswomanRadiatedKhz,entityclasses,Entity,,,Radiated Zombie Businesswoman,,Ausgestrahlte Zombie-Geschäftsfrau,Empresaria zombie irradiada,Femme d'affaires zombie rayonnée,Donna d'affari zombie irradiata,放射線状のゾンビ実業家,방사 좀비 사업가,Napromieniowana bizneswoman zombie,Empresária zumbi irradiada,Радиационная зомби-бизнесмен,Yayılan Zombi İşkadını,辐射僵尸女商人,輻射殭屍女商人
zombieCowgirlKhz,entityclasses,Entity,,,Zombie Cowgirl,,Zombie-Cowgirl,Vaquera zombi,Cow-girl zombie,Cowgirl zombie,ゾンビカウガール,좀비 카우걸,Zombie-kowbojka,Vaqueira Zumbi,Зомби-ковбойша,Zombi Kovboy Kız,僵尸女牛仔,殭屍女牛仔
